cca2,ccn3,cca3,cioc,independent,region,landlocked,area,population,fifa,status,unMember,subregion
SB,090,SLB,SOL,True,Oceania,False,28896.0,686878,SOL,officially-assigned,True,Melanesia
DZ,012,DZA,ALG,True,Africa,False,2381741.0,44700000,ALG,officially-assigned,True,Northern Africa
AG,028,ATG,ANT,True,Americas,False,442.0,97928,ATG,officially-assigned,True,Caribbean
SH,654,SHN,,False,Africa,False,394.0,53192,,officially-assigned,False,Western Africa
BR,076,BRA,BRA,True,Americas,False,8515767.0,212559409,BRA,officially-assigned,True,South America
GS,239,SGS,,False,Antarctic,False,3903.0,30,,officially-assigned,False,
ML,466,MLI,MLI,True,Africa,True,1240192.0,20250834,MLI,officially-assigned,True,Western Africa
PK,586,PAK,PAK,True,Asia,False,881912.0,220892331,PAK,officially-assigned,True,Southern Asia
TT,780,TTO,TTO,True,Americas,False,5130.0,1399491,TRI,officially-assigned,True,Caribbean
AM,051,ARM,ARM,True,Asia,True,29743.0,2963234,ARM,officially-assigned,True,Western Asia
BD,050,BGD,BAN,True,Asia,False,147570.0,164689383,BAN,officially-assigned,True,Southern Asia
TC,796,TCA,,False,Americas,False,948.0,38718,TCA,officially-assigned,False,Caribbean
TM,795,TKM,TKM,True,Asia,True,488100.0,6031187,TKM,officially-assigned,True,Central Asia
FO,234,FRO,,False,Europe,False,1393.0,48865,FRO,officially-assigned,False,Northern Europe
PW,585,PLW,PLW,True,Oceania,False,459.0,18092,,officially-assigned,True,Micronesia
CU,192,CUB,CUB,True,Americas,False,109884.0,11326616,CUB,officially-assigned,True,Caribbean
TD,148,TCD,CHA,True,Africa,True,1284000.0,16425859,CHA,officially-assigned,True,Middle Africa
BA,070,BIH,BIH,True,Europe,False,51209.0,3280815,BIH,officially-assigned,True,Southeast Europe
BW,072,BWA,BOT,True,Africa,True,582000.0,2351625,BOT,officially-assigned,True,Southern Africa
EE,233,EST,EST,True,Europe,False,45227.0,1331057,EST,officially-assigned,True,Northern Europe
IO,086,IOT,,False,Africa,False,60.0,3000,,officially-assigned,False,Eastern Africa
TF,260,ATF,,False,Antarctic,False,7747.0,400,,officially-assigned,False,
