id_country,root,suffix,full_code
USA,+1,272,+1272
USA,+1,274,+1274
USA,+1,276,+1276
USA,+1,281,+1281
USA,+1,283,+1283
USA,+1,301,+1301
USA,+1,302,+1302
USA,+1,303,+1303
USA,+1,304,+1304
USA,+1,305,+1305
USA,+1,307,+1307
USA,+1,308,+1308
USA,+1,309,+1309
USA,+1,310,+1310
USA,+1,312,+1312
USA,+1,313,+1313
USA,+1,314,+1314
USA,+1,315,+1315
USA,+1,316,+1316
USA,+1,317,+1317
USA,+1,318,+1318
USA,+1,319,+1319
USA,+1,320,+1320
USA,+1,321,+1321
USA,+1,323,+1323
USA,+1,325,+1325
USA,+1,327,+1327
USA,+1,330,+1330
USA,+1,331,+1331
USA,+1,334,+1334
USA,+1,336,+1336
USA,+1,337,+1337
USA,+1,339,+1339
USA,+1,346,+1346
USA,+1,347,+1347
USA,+1,351,+1351
USA,+1,352,+1352
USA,+1,360,+1360
USA,+1,361,+1361
USA,+1,364,+1364
USA,+1,380,+1380
USA,+1,385,+1385
USA,+1,386,+1386
USA,+1,401,+1401
USA,+1,402,+1402
USA,+1,404,+1404
USA,+1,405,+1405
USA,+1,406,+1406
USA,+1,407,+1407
USA,+1,408,+1408
USA,+1,409,+1409
USA,+1,410,+1410
USA,+1,412,+1412
USA,+1,413,+1413
USA,+1,414,+1414
USA,+1,415,+1415
USA,+1,417,+1417
USA,+1,419,+1419
USA,+1,423,+1423
USA,+1,424,+1424
USA,+1,425,+1425
USA,+1,430,+1430
USA,+1,432,+1432
USA,+1,434,+1434
USA,+1,435,+1435
USA,+1,440,+1440
USA,+1,442,+1442
USA,+1,443,+1443
USA,+1,447,+1447
USA,+1,458,+1458
USA,+1,463,+1463
USA,+1,464,+1464
USA,+1,469,+1469
USA,+1,470,+1470
USA,+1,475,+1475
USA,+1,478,+1478
USA,+1,479,+1479
USA,+1,480,+1480
USA,+1,484,+1484
USA,+1,501,+1501
USA,+1,502,+1502
USA,+1,503,+1503
USA,+1,504,+1504
USA,+1,505,+1505
USA,+1,507,+1507
USA,+1,508,+1508
USA,+1,509,+1509
USA,+1,510,+1510
USA,+1,512,+1512
USA,+1,513,+1513
USA,+1,515,+1515
USA,+1,516,+1516
USA,+1,517,+1517
USA,+1,518,+1518
USA,+1,520,+1520
USA,+1,530,+1530
USA,+1,531,+1531
USA,+1,534,+1534
USA,+1,539,+1539
USA,+1,540,+1540
USA,+1,541,+1541
USA,+1,551,+1551
USA,+1,559,+1559
USA,+1,561,+1561
USA,+1,562,+1562
USA,+1,563,+1563
USA,+1,564,+1564
USA,+1,567,+1567
USA,+1,570,+1570
USA,+1,571,+1571
USA,+1,573,+1573
USA,+1,574,+1574
USA,+1,575,+1575
USA,+1,580,+1580
USA,+1,585,+1585
USA,+1,586,+1586
USA,+1,601,+1601
USA,+1,602,+1602
USA,+1,603,+1603
USA,+1,605,+1605
USA,+1,606,+1606
USA,+1,607,+1607
USA,+1,608,+1608
USA,+1,609,+1609
USA,+1,610,+1610
USA,+1,612,+1612
USA,+1,614,+1614
USA,+1,615,+1615
USA,+1,616,+1616
USA,+1,617,+1617
USA,+1,618,+1618
USA,+1,619,+1619
USA,+1,620,+1620
USA,+1,623,+1623
USA,+1,626,+1626
USA,+1,628,+1628
USA,+1,629,+1629
USA,+1,630,+1630
USA,+1,631,+1631
USA,+1,636,+1636
USA,+1,641,+1641
USA,+1,646,+1646
USA,+1,650,+1650
USA,+1,651,+1651
USA,+1,657,+1657
USA,+1,660,+1660
USA,+1,661,+1661
USA,+1,662,+1662
USA,+1,667,+1667
USA,+1,669,+1669
USA,+1,678,+1678
USA,+1,681,+1681
USA,+1,682,+1682
USA,+1,701,+1701
USA,+1,702,+1702
USA,+1,703,+1703
USA,+1,704,+1704
USA,+1,706,+1706
USA,+1,707,+1707
USA,+1,708,+1708
USA,+1,712,+1712
USA,+1,713,+1713
USA,+1,714,+1714
USA,+1,715,+1715
USA,+1,716,+1716
USA,+1,717,+1717
USA,+1,718,+1718
USA,+1,719,+1719
USA,+1,720,+1720
USA,+1,724,+1724
USA,+1,725,+1725
USA,+1,727,+1727
USA,+1,730,+1730
USA,+1,731,+1731
USA,+1,732,+1732
USA,+1,734,+1734
USA,+1,737,+1737
USA,+1,740,+1740
USA,+1,743,+1743
USA,+1,747,+1747
USA,+1,754,+1754
USA,+1,757,+1757
USA,+1,760,+1760
USA,+1,762,+1762
USA,+1,763,+1763
USA,+1,765,+1765
USA,+1,769,+1769
USA,+1,770,+1770
USA,+1,772,+1772
USA,+1,773,+1773
USA,+1,774,+1774
USA,+1,775,+1775
USA,+1,779,+1779
USA,+1,781,+1781
USA,+1,785,+1785
USA,+1,786,+1786
USA,+1,801,+1801
USA,+1,802,+1802
USA,+1,803,+1803
USA,+1,804,+1804
USA,+1,805,+1805
USA,+1,806,+1806
USA,+1,808,+1808
USA,+1,810,+1810
USA,+1,812,+1812
USA,+1,813,+1813
USA,+1,814,+1814
USA,+1,815,+1815
USA,+1,816,+1816
USA,+1,817,+1817
USA,+1,818,+1818
USA,+1,828,+1828
USA,+1,830,+1830
USA,+1,831,+1831
USA,+1,832,+1832
USA,+1,843,+1843
USA,+1,845,+1845
USA,+1,847,+1847
USA,+1,848,+1848
USA,+1,850,+1850
USA,+1,854,+1854
USA,+1,856,+1856
USA,+1,857,+1857
USA,+1,858,+1858
USA,+1,859,+1859
USA,+1,860,+1860
USA,+1,862,+1862
USA,+1,863,+1863
USA,+1,864,+1864
USA,+1,865,+1865
USA,+1,870,+1870
USA,+1,872,+1872
USA,+1,878,+1878
USA,+1,901,+1901
USA,+1,903,+1903
USA,+1,904,+1904
USA,+1,906,+1906
USA,+1,907,+1907
USA,+1,908,+1908
USA,+1,909,+1909
USA,+1,910,+1910
USA,+1,912,+1912
USA,+1,913,+1913
USA,+1,914,+1914
USA,+1,915,+1915
USA,+1,916,+1916
USA,+1,917,+1917
USA,+1,918,+1918
USA,+1,919,+1919
USA,+1,920,+1920
USA,+1,925,+1925
USA,+1,928,+1928
USA,+1,929,+1929
USA,+1,930,+1930
USA,+1,931,+1931
USA,+1,934,+1934
USA,+1,936,+1936
USA,+1,937,+1937
USA,+1,938,+1938
USA,+1,940,+1940
USA,+1,941,+1941
USA,+1,947,+1947
USA,+1,949,+1949
