cca3,language,gender,demonym
CAF,fra,f,Centrafricaine
CAF,fra,m,Centrafricain
GUF,eng,f,Guianan
GUF,eng,m,Guianan
GUF,fra,f,Guyanaise
GUF,fra,m,Guyanais
ASM,eng,f,American Samoan
ASM,eng,m,American Samoan
ASM,fra,f,Samoane
ASM,fra,m,Samoan
LCA,eng,f,Saint Lucian
LCA,eng,m,Saint Lucian
LCA,fra,f,Saint-Lucienne
LCA,fra,m,Saint-Lucien
UGA,eng,f,Ugandan
UGA,eng,m,Ugandan
UGA,fra,f,Ougandaise
UGA,fra,m,Ougandais
HND,eng,f,Honduran
HND,eng,m,Honduran
HND,fra,f,Hondurienne
HND,fra,m,Hondurien
KAZ,eng,f,Kazakhstani
KAZ,eng,m,Kazakhstani
KAZ,fra,f,Kazakhstanaise
KAZ,fra,m,Kazakhstanais
KEN,eng,f,Kenyan
KEN,eng,m,Kenyan
KEN,fra,f,Kényane
KEN,fra,m,Kényan
WSM,eng,f,Samoan
WSM,eng,m,Samoan
WSM,fra,f,Samoane
WSM,fra,m,Samoan
NPL,eng,f,Nepalese
NPL,eng,m,Nepalese
NPL,fra,f,Népalaise
NPL,fra,m,Népalais
GNQ,eng,f,Equatorial Guinean
GNQ,eng,m,Equatorial Guinean
GNQ,fra,f,Équato-guinéenne
GNQ,fra,m,Équato-guinéen
LBN,eng,f,Lebanese
LBN,eng,m,Lebanese
LBN,fra,f,Libanaise
LBN,fra,m,Libanais
MUS,eng,f,Mauritian
MUS,eng,m,Mauritian
MUS,fra,f,Mauricienne
MUS,fra,m,Mauricien
LIE,eng,f,Liechtensteiner
LIE,eng,m,Liechtensteiner
LIE,fra,f,Liechtensteinoise
LIE,fra,m,Liechtensteinois
CYM,eng,f,Caymanian
CYM,eng,m,Caymanian
CYM,fra,f,Caïmanienne
CYM,fra,m,Caïmanien
AIA,eng,f,Anguillian
AIA,eng,m,Anguillian
AIA,fra,f,Anguillane
AIA,fra,m,Anguillan
GLP,eng,f,Guadeloupian
GLP,eng,m,Guadeloupian
GLP,fra,f,Guadeloupéenne
GLP,fra,m,Guadeloupéen
AUT,eng,f,Austrian
AUT,eng,m,Austrian
AUT,fra,f,Autrichienne
AUT,fra,m,Autrichien
NLD,eng,f,Dutch
NLD,eng,m,Dutch
NLD,fra,f,Néerlandaise
NLD,fra,m,Néerlandais
SJM,eng,f,Norwegian
SJM,eng,m,Norwegian
SJM,fra,f,
SJM,fra,m,
SGP,eng,f,Singaporean
SGP,eng,m,Singaporean
SGP,fra,f,Singapourienne
SGP,fra,m,Singapourien
LBR,eng,f,Liberian
LBR,eng,m,Liberian
LBR,fra,f,Libérienne
LBR,fra,m,Libérien
