cca3,language,gender,demonym
VUT,eng,f,Ni-Vanuatu
VUT,eng,m,Ni-Vanuatu
VUT,fra,f,Vanuatuane
VUT,fra,m,Vanuatuan
ECU,eng,f,Ecuadorean
ECU,eng,m,Ecuadorean
ECU,fra,f,Équatorienne
ECU,fra,m,Équatorien
KWT,eng,f,Kuwaiti
KWT,eng,m,Kuwaiti
KWT,fra,f,Koweïtienne
KWT,fra,m,Koweïtien
PHL,eng,f,Filipino
PHL,eng,m,Filipino
PHL,fra,f,Philippine
PHL,fra,m,Philippin
CHL,eng,f,Chilean
CHL,eng,m,Chilean
CHL,fra,f,Chilienne
CHL,fra,m,Chilien
BHS,eng,f,Bahamian
BHS,eng,m,Bahamian
BHS,fra,f,Bahamienne
BHS,fra,m,Bahamien
TZA,eng,f,Tanzanian
TZA,eng,m,Tanzanian
TZA,fra,f,Tanzanienne
TZA,fra,m,Tanzanien
CRI,eng,f,Costa Rican
CRI,eng,m,Costa Rican
CRI,fra,f,Costaricaine
CRI,fra,m,Costaricain
MAR,eng,f,Moroccan
MAR,eng,m,Moroccan
MAR,fra,f,Marocaine
MAR,fra,m,Marocain
MNE,eng,f,Montenegrin
MNE,eng,m,Montenegrin
MNE,fra,f,Monténégrine
MNE,fra,m,Monténégrin
FSM,eng,f,Micronesian
FSM,eng,m,Micronesian
FSM,fra,f,Micronésienne
FSM,fra,m,Micronésien
PRT,eng,f,Portuguese
PRT,eng,m,Portuguese
PRT,fra,f,Portugaise
PRT,fra,m,Portugais
ARE,eng,f,Emirati
ARE,eng,m,Emirati
ARE,fra,f,Emirienne
ARE,fra,m,Emirien
LBY,eng,f,Libyan
LBY,eng,m,Libyan
LBY,fra,f,Libyenne
LBY,fra,m,Libyen
LUX,eng,f,Luxembourger
LUX,eng,m,Luxembourger
LUX,fra,f,Luxembourgeoise
LUX,fra,m,Luxembourgeois
JEY,eng,f,Channel Islander
JEY,eng,m,Channel Islander
JEY,fra,f,Jersiaise
JEY,fra,m,Jersiais
SLB,eng,f,Solomon Islander
SLB,eng,m,Solomon Islander
SLB,fra,f,Salomonienne
SLB,fra,m,Salomonien
DZA,eng,f,Algerian
DZA,eng,m,Algerian
DZA,fra,f,Algérienne
DZA,fra,m,Algérien
ATG,eng,f,"Antiguan, Barbudan"
ATG,eng,m,"Antiguan, Barbudan"
ATG,fra,f,Antiguaise et barbudienne
ATG,fra,m,Antiguaise et barbudien
SHN,eng,f,Saint Helenian
SHN,eng,m,Saint Helenian
SHN,fra,f,Sainte-Hélénoise
SHN,fra,m,Sainte-Hélènois
BRA,eng,f,Brazilian
BRA,eng,m,Brazilian
BRA,fra,f,Brésilienne
BRA,fra,m,Brésilien
SGS,eng,f,South Georgian South Sandwich Islander
SGS,eng,m,South Georgian South Sandwich Islander
SGS,fra,f,
SGS,fra,m,
MLI,eng,f,Malian
MLI,eng,m,Malian
MLI,fra,f,Malienne
MLI,fra,m,Malien
PAK,eng,f,Pakistani
PAK,eng,m,Pakistani
PAK,fra,f,Pakistanaise
PAK,fra,m,Pakistanais
TTO,eng,f,Trinidadian
TTO,eng,m,Trinidadian
TTO,fra,f,Trinidadienne
TTO,fra,m,Trinidadien
ARM,eng,f,Armenian
ARM,eng,m,Armenian
ARM,fra,f,Arménienne
ARM,fra,m,Arménien
BGD,eng,f,Bangladeshi
BGD,eng,m,Bangladeshi
BGD,fra,f,Bangladaise
BGD,fra,m,Bangladais
TCA,eng,f,Turks and Caicos Islander
TCA,eng,m,Turks and Caicos Islander
TCA,fra,f,
TCA,fra,m,
TKM,eng,f,Turkmen
TKM,eng,m,Turkmen
TKM,fra,f,Turkmène
TKM,fra,m,Turkmène
FRO,eng,f,Faroese
FRO,eng,m,Faroese
FRO,fra,f,Féroïenne
FRO,fra,m,Féroïen
PLW,eng,f,Palauan
PLW,eng,m,Palauan
PLW,fra,f,Paluane
PLW,fra,m,Paluan
CUB,eng,f,Cuban
CUB,eng,m,Cuban
CUB,fra,f,Cubaine
CUB,fra,m,Cubain
TCD,eng,f,Chadian
TCD,eng,m,Chadian
TCD,fra,f,Tchadienne
TCD,fra,m,Tchadien
BIH,eng,f,"Bosnian, Herzegovinian"
BIH,eng,m,"Bosnian, Herzegovinian"
BIH,fra,f,Bosnienne
BIH,fra,m,Bosnien
BWA,eng,f,Motswana
BWA,eng,m,Motswana
BWA,fra,f,Botswanaise
BWA,fra,m,Botswanais
EST,eng,f,Estonian
EST,eng,m,Estonian
EST,fra,f,Estonienne
EST,fra,m,Estonien
IOT,eng,f,Indian
IOT,eng,m,Indian
IOT,fra,f,
IOT,fra,m,
ATF,eng,f,French
ATF,eng,m,French
ATF,fra,f,Française
ATF,fra,m,Français
GRL,eng,f,Greenlandic
GRL,eng,m,Greenlandic
GRL,fra,f,Groenlandaise
GRL,fra,m,Groenlandais
CXR,eng,f,Christmas Islander
CXR,eng,m,Christmas Islander
CXR,fra,f,
CXR,fra,m,
PCN,eng,f,Pitcairn Islander
PCN,eng,m,Pitcairn Islander
PCN,fra,f,Pitcairnaise
PCN,fra,m,Pitcairnais
ESH,eng,f,Sahrawi
ESH,eng,m,Sahrawi
ESH,fra,f,
ESH,fra,m,
MSR,eng,f,Montserratian
MSR,eng,m,Montserratian
MSR,fra,f,Montserratienne
MSR,fra,m,Montserratien
BHR,eng,f,Bahraini
BHR,eng,m,Bahraini
BHR,fra,f,Bahreïnienne
BHR,fra,m,Bahreïnien
DOM,eng,f,Dominican
DOM,eng,m,Dominican
DOM,fra,f,Dominicaine
DOM,fra,m,Dominicain
USA,eng,f,American
USA,eng,m,American
USA,fra,f,Américaine
USA,fra,m,Américain
COK,eng,f,Cook Islander
COK,eng,m,Cook Islander
COK,fra,f,Cookienne
COK,fra,m,Cookien
COL,eng,f,Colombian
COL,eng,m,Colombian
COL,fra,f,Colombienne
COL,fra,m,Colombien
GIN,eng,f,Guinean
GIN,eng,m,Guinean
GIN,fra,f,Guinéenne
GIN,fra,m,Guinéen
IRL,eng,f,Irish
IRL,eng,m,Irish
IRL,fra,f,Irlandaise
IRL,fra,m,Irlandais
MDV,eng,f,Maldivan
MDV,eng,m,Maldivan
MDV,fra,f,Maldivienne
MDV,fra,m,Maldivien
PAN,eng,f,Panamanian
PAN,eng,m,Panamanian
PAN,fra,f,Panaméenne
PAN,fra,m,Panaméen
MOZ,eng,f,Mozambican
MOZ,eng,m,Mozambican
MOZ,fra,f,Mozambicaine
MOZ,fra,m,Mozambicain
OMN,eng,f,Omani
OMN,eng,m,Omani
OMN,fra,f,Omanaise
OMN,fra,m,Omanais
CZE,eng,f,Czech
CZE,eng,m,Czech
CZE,fra,f,Tchèque
CZE,fra,m,Tchèque
HMD,eng,f,Heard and McDonald Islander
HMD,eng,m,Heard and McDonald Islander
HMD,fra,f,
HMD,fra,m,
VCT,eng,f,Saint Vincentian
VCT,eng,m,Saint Vincentian
VCT,fra,f,Vincentaise
VCT,fra,m,Vincentais
HTI,eng,f,Haitian
HTI,eng,m,Haitian
HTI,fra,f,Haïtienne
HTI,fra,m,Haïtien
NGA,eng,f,Nigerian
NGA,eng,m,Nigerian
NGA,fra,f,Nigériane
NGA,fra,m,Nigérian
VGB,eng,f,Virgin Islander
VGB,eng,m,Virgin Islander
VGB,fra,f,
VGB,fra,m,
NAM,eng,f,Namibian
NAM,eng,m,Namibian
NAM,fra,f,Namibienne
NAM,fra,m,Namibien
DMA,eng,f,Dominican
DMA,eng,m,Dominican
DMA,fra,f,Dominiquaise
DMA,fra,m,Dominiquais
CAN,eng,f,Canadian
