cca3,capital,lat,lng
CCK,West Island,-12.17,96.83
NZL,Wellington,-41.3,174.78
MDG,Antananarivo,-18.92,47.52
THA,Bangkok,13.75,100.52
GEO,Tbilisi,41.68,44.83
IND,New Delhi,28.6,77.2
CHN,Beijing,39.92,116.38
SPM,Saint-Pierre,46.77,-56.18
PRI,San Juan,18.47,-66.12
DJI,Djibouti,11.58,43.15
SAU,Riyadh,24.65,46.7
IRN,Tehran,35.7,51.42
ZMB,Lusaka,-15.42,28.28
ETH,Addis Ababa,9.03,38.7
GTM,Guatemala City,14.62,-90.52
MTQ,Fort-de-France,14.6,-61.08
SUR,Paramaribo,5.83,-55.17
URY,Montevideo,-34.85,-56.17
ITA,Rome,41.9,12.48
NCL,Nouméa,-22.27,166.45
FJI,Suva,-18.13,178.42
ABW,Oranjestad,12.52,-70.03
STP,São Tomé,0.34,6.73
CHE,Bern,46.92,7.47
COD,Kinshasa,-4.32,15.3
FIN,Helsinki,60.17,24.93
MLT,Valletta,35.88,14.5
SLV,San Salvador,13.7,-89.2
JOR,Amman,31.95,35.93
TKL,Fakaofo,-9.38,-171.22
NRU,Yaren,-0.55,166.92
POL,Warsaw,52.25,21.0
MRT,Nouakchott,18.07,-15.97
WLF,Mata-Utu,-13.95,-171.93
GUM,Hagåtña,13.48,144.75
MKD,Skopje,42.0,21.43
TGO,Lomé,6.14,1.21
MMR,Naypyidaw,19.76,96.07
QAT,Doha,25.28,51.53
FRA,Paris,48.87,2.33
MYT,Mamoudzou,-12.78,45.22
NFK,Kingston,-29.05,167.97
SYC,Victoria,-4.62,55.45
MDA,Chișinău,47.01,28.9
SSD,Juba,4.85,31.62
BRN,Bandar Seri Begawan,4.88,114.93
JPN,Tokyo,35.68,139.75
GRD,St. George's,32.38,-64.68
ESP,Madrid,40.4,-3.68
BES,Kralendijk,12.14,-68.27
PNG,Port Moresby,-9.45,147.18
UZB,Tashkent,41.32,69.25
ARG,Buenos Aires,-34.58,-58.67
KOR,Seoul,37.55,126.98
BLZ,Belmopan,17.25,-88.77
REU,Saint-Denis,-20.88,55.45
MEX,Mexico City,19.43,-99.13
VIR,Charlotte Amalie,18.35,-64.93
SRB,Belgrade,44.83,20.5
UMI,Washington DC,,
CPV,Praia,14.92,-23.52
KHM,Phnom Penh,11.55,104.92
ROU,Bucharest,44.43,26.1
HUN,Budapest,47.5,19.08
MHL,Majuro,7.1,171.38
SOM,Mogadishu,2.07,45.33
ALB,Tirana,41.32,19.82
PYF,Papeetē,-17.53,-149.56
BDI,Gitega,-3.43,29.93
CAF,Bangui,4.37,18.58
GUF,Cayenne,4.94,-52.33
ASM,Pago Pago,-14.27,-170.7
LCA,Castries,14.0,-61.0
UGA,Kampala,0.32,32.55
HND,Tegucigalpa,14.1,-87.22
KAZ,Astana,51.16,71.45
KEN,Nairobi,-1.28,36.82
WSM,Apia,-13.82,-171.77
NPL,Kathmandu,27.72,85.32
GNQ,Malabo,3.75,8.78
LBN,Beirut,33.87,35.5
MUS,Port Louis,-20.15,57.48
LIE,Vaduz,47.13,9.52
CYM,George Town,19.3,-81.38
AIA,The Valley,18.22,-63.05
GLP,Basse-Terre,16.03,-61.73
AUT,Vienna,48.2,16.37
NLD,Amsterdam,52.35,4.92
SJM,Longyearbyen,78.22,15.63
SGP,Singapore,1.28,103.85
LBR,Monrovia,6.3,-10.8
